id,target
250,0.6676687
251,0.67163134
252,0.6846314
253,0.7328422
254,0.64184815
255,0.6376079
256,0.48261392
257,0.492781
258,0.7469434
259,0.503831
260,0.7034999
261,0.54103947
262,0.6223545
263,0.7497593
264,0.4818408
265,0.7213639
266,0.6415472
267,0.7666085
268,0.62446654
269,0.4848578
270,0.63782334
271,0.74199116
272,0.6289474
273,0.55255055
274,0.385173
275,0.7062719
276,0.21739057
277,0.7602305
278,0.746308
279,0.7021458
280,0.56246054
281,0.6449387
282,0.71168303
283,0.4324633
284,0.66708577
285,0.6517164
286,0.58178556
287,0.66616297
288,0.72653687
289,0.7718331
290,0.68193734
291,0.5761956
292,0.7038823
293,0.70866084
294,0.4894929
295,0.7596346
296,0.6467237
297,0.7400556
298,0.735456
299,0.44787914
300,0.63939756
301,0.69507694
302,0.7415411
303,0.7187727
304,0.5652436
305,0.726692
306,0.7542477
307,0.7232033
308,0.76983106
309,0.35876864
310,0.75222135
311,0.74060357
312,0.7842691
313,0.71562016
314,0.2785018
315,0.52166814
316,0.73711944
317,0.7274463
318,0.3942537
319,0.76575905
320,0.6656876
321,0.67972285
322,0.6472238
323,0.73742527
324,0.71200895
325,0.6808475
326,0.5992423
327,0.503295
328,0.46610302
329,0.6232818
330,0.30139825
331,0.6218247
332,0.41292796
333,0.4608974
334,0.71113986
335,0.7175372
336,0.63199973
337,0.64723927
338,0.7129617
339,0.56225044
340,0.76835424
341,0.37888086
342,0.7375741
343,0.72901154
344,0.741658
345,0.5665126
346,0.63592184
347,0.6572304
348,0.68644434
349,0.692994
350,0.7344779
351,0.68654567
352,0.6291054
353,0.62583566
354,0.657361
355,0.69143784
356,0.43135467
357,0.6527306
358,0.6812049
359,0.73951685
360,0.7498114
361,0.71868134
362,0.53520596
363,0.7284111
364,0.63149494
365,0.24623327
366,0.6965236
367,0.6957409
368,0.4002466
369,0.7207633
370,0.59563136
371,0.71665245
372,0.3612792
373,0.6401845
374,0.70098394
375,0.76148593
376,0.54524565
377,0.5334863
378,0.72135586
379,0.50667846
380,0.61853296
381,0.75289524
382,0.7416281
383,0.77915573
384,0.55010253
385,0.69822365
386,0.747849
387,0.67187846
388,0.22607233
389,0.34507975
390,0.73584336
391,0.5537647
392,0.71396065
393,0.66192806
394,0.7203079
395,0.64154774
396,0.65871674
397,0.6438257
398,0.7427647
399,0.69506425
400,0.62396747
401,0.6469064
402,0.418817
403,0.60592014
404,0.56776756
405,0.73575526
406,0.71250486
407,0.24930789
408,0.59938574
409,0.5948959
410,0.7198178
411,0.7392726
412,0.6122514
413,0.7089011
414,0.77168125
415,0.6459734
416,0.59675074
417,0.7107903
418,0.5541681
419,0.67492753
420,0.67519134
421,0.5110749
422,0.62494767
423,0.7601699
424,0.6193421
425,0.50208175
426,0.5944491
427,0.69352514
428,0.716847
429,0.35701838
430,0.6358186
431,0.66571087
432,0.67121613
433,0.765595
434,0.77229357
435,0.32313368
436,0.5276222
437,0.62401456
438,0.74680704
439,0.68796957
440,0.5442137
441,0.51547194
442,0.629316
443,0.43017584
444,0.6732122
445,0.39293098
446,0.7719272
447,0.46510893
448,0.593626
449,0.6973605
450,0.18910858
451,0.58750767
452,0.452863
453,0.49332216
454,0.70556086
455,0.69778025
456,0.58828616
457,0.56561005
458,0.5282927
459,0.7260812
460,0.7343486
461,0.7356048
462,0.64566445
463,0.28540537
464,0.6165058
465,0.7640463
466,0.7087862
467,0.652403
468,0.7646682
469,0.44912955
470,0.5979074
